Governorate,Date,precipitation,hc_air_temperature,hc_relative_humidity,solar_radiation,wind_speed_sonic,Cereales (T),Maraichage (T),Legumineuses (T),Fourrages (T),Arboriculture (T),Olives (T),Cultures industrielles (T),Year
BIZERTE,2025-08-11,0.0,27.282083333333333,69.51625,310.4166666666667,2.2125,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-11,0.0,27.282083333333333,69.51625,310.4166666666667,2.2125,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-15,0.0,27.63416666666667,64.70375,301.2083333333333,2.325,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-15,0.0,27.63416666666667,64.70375,301.2083333333333,2.325,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-15,0.0,27.63416666666667,64.70375,301.2083333333333,2.325,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-15,0.0,27.63416666666667,64.70375,301.2083333333333,2.325,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-16,0.0,27.65,78.1975,244.33333333333331,3.520833333333333,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-16,0.0,27.65,78.1975,244.33333333333331,3.520833333333333,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-16,0.0,27.65,78.1975,244.33333333333331,3.520833333333333,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-16,0.0,27.65,78.1975,244.33333333333331,3.520833333333333,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-17,0.0,28.094166666666663,76.53291666666667,281.0,3.883333333333333,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-17,0.0,28.094166666666663,76.53291666666667,281.0,3.883333333333333,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-17,0.0,28.094166666666663,76.53291666666667,281.0,3.883333333333333,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-17,0.0,28.094166666666663,76.53291666666667,281.0,3.883333333333333,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-18,0.0,26.872083333333336,77.79,265.25,1.9375,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-18,0.0,26.872083333333336,77.79,265.25,1.9375,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-18,0.0,26.872083333333336,77.79,265.25,1.9375,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-18,0.0,26.872083333333336,77.79,265.25,1.9375,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-19,0.0,28.707916666666662,64.5775,273.2916666666667,1.7416666666666665,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-19,0.0,28.707916666666662,64.5775,273.2916666666667,1.7416666666666665,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-19,0.0,28.707916666666662,64.5775,273.2916666666667,1.7416666666666665,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-19,0.0,28.707916666666662,64.5775,273.2916666666667,1.7416666666666665,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-20,0.0,29.41375,56.6325,254.70833333333331,2.1333333333333333,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-20,0.0,29.41375,56.6325,254.70833333333331,2.1333333333333333,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-20,0.0,29.41375,56.6325,254.70833333333331,2.1333333333333333,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-20,0.0,29.41375,56.6325,254.70833333333331,2.1333333333333333,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-21,0.0,27.646666666666665,81.17916666666666,239.41666666666663,2.1083333333333334,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-21,0.0,27.646666666666665,81.17916666666666,239.41666666666663,2.1083333333333334,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-21,0.0,27.646666666666665,81.17916666666666,239.41666666666663,2.1083333333333334,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-21,0.0,27.646666666666665,81.17916666666666,239.41666666666663,2.1083333333333334,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-22,0.2,26.18583333333333,78.53458333333333,241.875,2.145833333333333,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-22,0.2,26.18583333333333,78.53458333333333,241.875,2.145833333333333,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-22,0.2,26.18583333333333,78.53458333333333,241.875,2.145833333333333,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-22,0.2,26.18583333333333,78.53458333333333,241.875,2.145833333333333,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-23,0.0,25.633750000000003,73.58833333333332,256.4166666666667,1.9833333333333332,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-23,0.0,25.633750000000003,73.58833333333332,256.4166666666667,1.9833333333333332,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-23,0.0,25.633750000000003,73.58833333333332,256.4166666666667,1.9833333333333332,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-23,0.0,25.633750000000003,73.58833333333332,256.4166666666667,1.9833333333333332,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-24,0.0,25.894583333333333,70.52666666666667,266.8333333333333,1.7875,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-24,0.0,25.894583333333333,70.52666666666667,266.8333333333333,1.7875,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-24,0.0,25.894583333333333,70.52666666666667,266.8333333333333,1.7875,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-24,0.0,25.894583333333333,70.52666666666667,266.8333333333333,1.7875,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-25,0.0,26.74083333333333,65.46666666666667,272.5833333333333,1.6333333333333335,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-25,0.0,26.74083333333333,65.46666666666667,272.5833333333333,1.6333333333333335,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-25,0.0,26.74083333333333,65.46666666666667,272.5833333333333,1.6333333333333335,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-25,0.0,26.74083333333333,65.46666666666667,272.5833333333333,1.6333333333333335,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-26,0.0,29.237916666666667,58.747083333333336,221.5,1.6083333333333334,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-26,0.0,29.237916666666667,58.747083333333336,221.5,1.6083333333333334,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-26,0.0,29.237916666666667,58.747083333333336,221.5,1.6083333333333334,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-26,0.0,29.237916666666667,58.747083333333336,221.5,1.6083333333333334,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-27,0.0,32.26958333333334,54.33541666666667,255.5,1.7041666666666666,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-27,0.0,32.26958333333334,54.33541666666667,255.5,1.7041666666666666,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-27,0.0,32.26958333333334,54.33541666666667,255.5,1.7041666666666666,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-27,0.0,32.26958333333334,54.33541666666667,255.5,1.7041666666666666,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-28,0.0,30.705,53.333333333333336,223.0,2.125,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-28,0.0,30.705,53.333333333333336,223.0,2.125,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-28,0.0,30.705,53.333333333333336,223.0,2.125,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-28,0.0,30.705,53.333333333333336,223.0,2.125,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-29,0.4,27.732916666666668,75.85958333333333,248.04166666666663,2.225,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-29,0.4,27.732916666666668,75.85958333333333,248.04166666666663,2.225,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-29,0.4,27.732916666666668,75.85958333333333,248.04166666666663,2.225,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-29,0.4,27.732916666666668,75.85958333333333,248.04166666666663,2.225,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-30,0.0,26.17458333333333,71.60958333333333,226.95833333333331,2.6833333333333336,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
